
1998,2003,2008,code,name
852,"1,032.00","1,339.00",21192,Tuzamapan de Galeana
"15,983.00","23,170.00","30,722.00",21194,Venustiano Carranza
"267,798.00","200,708.00","540,697.00",21197,Xicotepec
693,"1,878.00","2,323.00",21200,Xochiapulco
613,"3,966.00","3,696.00",21202,Xochitlán de Vicente Suárez
"74,293.00","76,230.00","26,187.00",21207,Zacapoaxtla
"45,377.00","72,140.00","101,289.00",21208,Zacatlán
"29,680.00","1,114.00",638,21213,Zihuateutla
903,"1,818.00","2,432.00",21217,Zoquitlán
"13,189.00","89,342.00","110,587.00",22001,Amealco de Bonfil
875,"1,625.00","1,946.00",22002,Pinal de Amoles
"494,651.00","445,128.00","102,492.00",22004,Cadereyta de Montes
"477,782.00","702,861.00","1,023,435.00",22007,Ezequiel Montes
"7,394.00","11,119.00","16,873.00",22009,Jalpan de Serra
84,,234,22010,Landa de Matamoros
"1,215.00",685,"3,369.00",22013,Peñamiller
"67,006.00","31,258.00","14,745.00",22018,Tolimán
70,778,515,24002,Alaquines
"1,754.00","3,206.00","2,758.00",24003,Aquismón
"10,932.00","16,347.00","32,368.00",24005,Cárdenas
"8,869.00","11,291.00","10,367.00",24010,Ciudad del Maíz
"100,135.00","39,001.00","64,999.00",24011,Ciudad Fernández
"1,734,574.00","1,904,617.00","2,521,951.00",24013,Ciudad Valles
578,"60,158.00","1,093.00",24017,Guadalcázar
191,142,86,24019,Lagunillas
"16,710.00","8,647.00","8,035.00",24023,Rayón
"189,207.00","125,251.00","124,667.00",24024,Rioverde
"6,412.00","7,031.00","13,440.00",24027,San Ciro de Acosta
"1,558.00","2,411.00","2,293.00",24029,San Martín Chalchicuautla
"35,441.00","69,579.00","40,311.00",24032,Santa María del Río
351,193,"1,344.00",24033,Santo Domingo
"3,435.00","7,695.00","10,274.00",24034,San Vicente Tancuayalab
"357,409.00","669,897.00","593,431.00",24036,Tamasopo
"26,002.00","26,793.00","39,591.00",24037,Tamazunchale
357,"1,194.00","1,266.00",24038,Tampacán
"2,291.00","2,517.00","1,413.00",24039,Tampamolón Corona
586,"4,270.00","2,791.00",24041,Tanlajás
"1,749.00","6,661.00","3,754.00",24044,Vanegas
"392,555.00","605,847.00","4,717,667.00",24050,Villa de Reyes
"7,623.00","11,102.00","16,903.00",24053,Axtla de Terrazas
"36,989.00","104,379.00","138,146.00",24055,Zaragoza
559,829,792,30008,Alpatláhuac
"388,326.00","788,557.00","2,864,708.00",30014,Amatlán de los Reyes
91,,276,30019,Astacinga
720,420,535,30020,Atlahuilco
"797,717.00","1,083,838.00","1,482,185.00",30021,Atoyac
"71,353.00","58,665.00","194,907.00",30023,Atzalan
"2,978.00","2,343.00","3,752.00",30024,Tlaltetela
"1,109.00",927,"1,412.00",30027,Benito Juárez
322,116,313,30029,Calcahualco
"118,643.00","39,212.00","59,274.00",30046,Cosautlán de Carvajal
467,"1,452.00","3,775.00",30050,Coxquihui
"2,868.00",149,953,30055,Chalma
532,233,862,30056,Chiconamel
"3,376.00","3,680.00","5,948.00",30058,Chicontepec
"1,835.00","2,719.00","5,259.00",30066,Espinal
"3,609.00","2,526.00","6,563.00",30072,Huayacocotla
42,,129,30076,Ilamatlán
"65,600.00","1,360.00","3,308.00",30079,Ixhuacán de los Reyes
"22,170.00","20,681.00","117,108.00",30080,Ixhuatlán del Café
"1,398.00","1,640.00","3,851.00",30083,Ixhuatlán de Madero
